ACTION_TAKEN,CALL_DATE,CALL_FROM,CALL_TIME,Category,Message search terms,Sub Category,Sum of Incidents,Sum of Vehicle Delay Time,Measure Param,DIRECTION,DISPATCHER_ID,DIVISION,GEOGRAPHIC_LOCATION_MODIFIED,LINE (group) 1,LINE (group),LINE,LINE_DELAY,LINE_DELAY_TIME_END,LINE_DELAY_TIME_START,Location,LOCATION_ORIGINAL,Incident Location,Message,NO_RETURN,Number of Records,OPERATOR_ID,RUN,RUN_LINE,SENT_TO,STREET_A,STREET_B,STREET_C,STREET_D,Subcategory,Security Incident Type,TAG_ID,TIMEOUT,Date,TIME_OF_INCIDENT,VEHICLE,VEHICLE_DELAY_TIME_END,VEHICLE_DELAY_TIME_START,VEHICLE_NEW,VEHICLE_NEW_NUM_1,VEHICLE_NEW_NUM_2,VEH_DELAY,VIA,Veh_Delay_Time (copy),Vehicle Delay Minutes per Incident
"INSP, 5T66B, ALVAREZ* RESPONDED.  NO MERIT.  SFPD* CAD #14006 AND CANCELLED. VIDEO*.   NO 799",1/11/2018,OPERATOR,21:08,Passenger Incident,0,Intoxicated Passenger,1,17,1,    IB,81,PO,FILLMORE ##### SUTTER,22,22,22,00:00 - 00:00,,,FILLMORE & SUTTER,,FILLMORE & SUTTER,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5658,444,444 / 22,,FILLMORE,SUTTER,%FILLMORE%,%SUTTER%,Intoxicated Passenger,Other,1570012,0:00,1/11/2018,1/11/2018 21:08,5565,1/11/2018 21:25,1/11/2018 21:08,,,,21:08 - 21:25,R,17,17
SFPD UNIT 12D RESPONDED CAD #3894. MEDIC 81 RESPONDED/CLEARED. CAD #3981. TRANSPORT INFO UNKNOWN. 4C95 RESPONDED/CLEARED. NO 799,1/10/2018,POWELL AGNT,20:37,Passenger Incident,0,Intoxicated Passenger,1,66,1,,10, ,POWELL STATION,NA,Other,NA,00:00 - 00:00,,,POWELL STATION & PLATFORM,,POWELL STATION & PLATFORM,PASSENGER INCIDENT - INTOXICATED PASSENGER  HISP MALE. BLUE JACKET. BLACK SLACKS. WHT SHOES. ****NO DELAY****,N,1,,, / ,,,,,,Intoxicated Passenger,Other,1569852,0:00,1/10/2018,1/10/2018 20:37,,1/10/2018 21:43,1/10/2018 20:37,,,,20:37 - 21:43,R,66,66
OPERATOR CLEARED PRIOR INSP & MEDIC ARRIVAL. NO 799,1/10/2018,OPERATOR,18:24,Passenger Incident,0,Intoxicated Passenger,1,9,1,    OB,41,PR,TOWNSEND ##### 4TH,45,45,45,00:00 - 00:00,,,TOWNSEND & 4TH STREET,,TOWNSEND & 4TH STREET,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,8726,210,210 / 45,,TOWNSEND,4TH,%TOWNSEND%,%4TH%,Intoxicated Passenger,Other,1569687,0:00,1/10/2018,1/10/2018 18:24,5577,1/10/2018 18:33,1/10/2018 18:24,,,,18:24 - 18:33,R,9,9
5T61 / SWART CALLED @ 1047 SFPD @1037 CAD#18091409 OPERATOR CLEARED / NO 799 / NO INJURIES / NO DAMAGE,1/9/2018,OPERATOR,10:37,Passenger Incident,0,Intoxicated Passenger,1,15,1,    IB,30,FL,VAN NESS ##### EDDY,49,49,49,00:00 - 00:00,,,VAN NESS & EDDY,,VAN NESS & EDDY,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1455,503,503 / 49,,VAN NESS,EDDY,%VAN%NESS%,%EDDY%,Intoxicated Passenger,Other,1569542,0:00,1/9/2018,1/9/2018 10:37,6603,1/9/2018 10:52,1/9/2018 10:37,,,,10:37 - 10:52,R,15,15
ALL INSP ON OTHER ASSIGNMENTS. OP CLEARED. NO 799. MEDIC TRANSPORTED PASS TO AN UNKNOW HOSP. VIDEO*. OP INSTRUCTED TO FILL OUT REPORT WITH DISP.,1/8/2018,OPERATOR,19:51,Passenger Incident,0,Intoxicated Passenger,1,2,1,    IB,81,FL,MISSION ##### MAIN,14R,Other,14R,00:00 - 00:00,,,MISSION & MAIN,,MISSION & MAIN,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4774,548,548 / 14R,,MISSION,MAIN,%MISSION%,%MAIN%,Intoxicated Passenger,Other,1569454,0:00,1/8/2018,1/8/2018 19:51,6508,1/8/2018 19:53,1/8/2018 19:51,,,,19:51 - 19:53,R,2,2
"INSP WONG, A (5T62B) CLEARED. NO 799. VIDEO*.",1/7/2018,OPERATOR,16:48,Passenger Incident,0,Intoxicated Passenger,1,47,1,    IB,13,PO,MCALLISTER ##### VAN NESS,5,5,5,00:00 - 00:00,,,MCALLISTER & VAN NESS,,MCALLISTER ST & VAN NESS AVE,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5298,372,372 / 5,,MCALLISTER,VAN NESS,%MCALLISTER%,%VAN%NESS%,Intoxicated Passenger,Other,1569241,0:00,1/7/2018,1/7/2018 16:48,7220,1/7/2018 17:35,1/7/2018 16:48,,,,16:48 - 17:35,R,47,47
OPERATOR CLEARED; SFPD UNIT (3I16B) RESP/REMOVED PASSENGER FROM VEHICLE; BACK IN SERVICE; NO 799,1/6/2018,SFPD,19:58,Passenger Incident,0,Intoxicated Passenger,1,4,1,    OB,92,GR,JUDAH ##### 19TH,N,N,N,00:00 - 00:00,,,JUDAH  & 19TH AVE,,JUDAH  & 19TH AVE,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3693,92,92 / N,,JUDAH,19TH,%JUDAH%,%19TH%,Intoxicated Passenger,Other,1569135,0:00,1/6/2018,1/6/2018 19:58,1477-1440,1/6/2018 20:15,1/6/2018 20:11,,,,20:11 - 20:15,R,4,4
"INSP SKINNER, R (1C12B), SFPD B11D RESP. NO ARREST. MEDIC 52 TRANSPORTED PASS TO ST FRANCIS HOSP. NO 799.",1/6/2018,1C12B,17:24,Passenger Incident,0,Intoxicated Passenger,1,46,1,    OB,26,PO,FERRY TERMINAL,6,6,6,00:00 - 00:00,,,FERRY TERM,,FERRY TERM,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2382,424,424 / 6,,,,,,Intoxicated Passenger,Other,1569130,0:00,1/6/2018,1/6/2018 17:24,5404,1/6/2018 18:10,1/6/2018 17:24,,,,17:24 - 18:10,T,46,46
5-T-60B INSP LEE CALLED @1428 ARRV @ 1435 SFFD*CAD#180057122 ENG#8 RESPONDED AMR# 108 TRANSPORTED PASSENGER TO SOBERING CENTER VIDEO* NO 799 NO INJURY NO DAMAGE,1/5/2018,OPERATOR,14:24,Passenger Incident,0,Intoxicated Passenger,1,26,1,    OB,27,KI,TOWNSEND ##### 4TH,47,47,47,00:00 - 00:00,,,TOWNSEND & 4TH STREET,,TOWNSEND & 4TH STREET,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2221,679,679 / 47,,TOWNSEND,4TH,%TOWNSEND%,%4TH%,Intoxicated Passenger,Other,1568979,0:00,1/5/2018,1/5/2018 14:24,8120,1/5/2018 14:55,1/5/2018 14:29,,,,14:29 - 14:55,R,26,26
"SFPD* (CAD # 54027) UNIT # 425 DISPATCHED/RESPONDED/REMOVED PASSENGER CALLED FOR MEDICS, PASSENGER TRANSPORTED TO SFGH BY MEDIC # 82. NO 799.",1/5/2018,OPERATOR,23:47,Passenger Incident,0,Intoxicated Passenger,1,13,1,    IB,17,PO,MISSION ##### 7TH,14,14,14,00:00 - 00:00,,,MISSION & 7TH ST,,7TH ST & MISSION ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  NO ARREST. NO 799.,N,1,5762,490,490 / 14,,MISSION,7TH,%MISSION%,%7TH%,Intoxicated Passenger,Other,1569063,0:00,1/5/2018,1/5/2018 23:47,5462,1/7/2018 0:00,1/6/2018 23:47,,,,23:47 - 00:00,R,13,13
5T67 RESP AND SFPD 3H15C HAS BEEN DISPATCHED AND RESP AND REMOVED PASSENGER FROM TRAIN. 740 CAD 180042757,1/4/2018,OPERATOR,14:48,Passenger Incident,0,Intoxicated Passenger,1,,1,    IB,94,GR,CAMBEACH YARD,M,M,M,00:00 - 00:00,,,CAMBEACH YARD,,CAMBEACH YARD,PASSENGER INCIDENT - INTOXICATED PASSENGER  REFUSES TO LEAVE,N,1,2155,72,72 / M,,,,,,Intoxicated Passenger,Other,1568856,0:00,1/4/2018,1/4/2018 14:48,1510-1466,1/4/2018 16:22,,,,,00:00 - 16:22,R,,
740 CAD 180042924 SFPD RESP AND CLEARED. 3A14D AND 3A15D RESP UNITS.,1/4/2018,TMC 41,16:33,Passenger Incident,0,Intoxicated Passenger,1,26,1,    OB,94,GR,DON CHEE WAY AND STEUART,F,F,F,00:00 - 00:00,,,DON CHEE WAY & STUEART,,DON CHEE WAY & STUEART,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2142,177,177 / F,,,,,,Intoxicated Passenger,Other,1568859,0:00,1/4/2018,1/4/2018 16:33,1073,1/4/2018 16:59,1/4/2018 16:33,,,,16:33 - 16:59,R,26,26
"AGENT, 4C90, 4M6, ENG #3, MEDIC #76 TRANSPORTED PASSENGER TO ST. FRAMCIS HOSIPITAL, SWEEP INBOUND 37/M/1520-1521, SWEEP OUTBOUND 40/J/1460",1/3/2018,TMC #34,10:42,Passenger Incident,0,Intoxicated Passenger,1,22,1,    IB,78,GR,POWELL STATION,NA,Other,NA,00:00 - 00:00,,,POWELL,,POWELL,PASSENGER INCIDENT - INTOXICATED PASSENGER  INTOXICATED PASSENGER FELL ON PLATFORM,N,1,,, / ,,,,,,Intoxicated Passenger,Other,1568669,0:00,1/3/2018,1/3/2018 10:42,,1/3/2018 11:04,1/3/2018 10:42,,,,10:42 - 11:04,T,22,22
"5-M-10/MORRIS RESPONDED
POLICE NOTIFIED @1038
CAD# 180021300   STAR#258
1 ARREST MADE",1/2/2018,OPERATOR,10:36,Passenger Incident,0,Intoxicated Passenger,1,25,1,    IB,15,FL,DALY CITY BART,14R,Other,14R,00:00 - 00:00,,,DALY CITY BART TERM,,DALY CITY BART TERM,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4470,442,442 / 14R,,,,,,Intoxicated Passenger,Other,1568512,0:00,1/2/2018,1/2/2018 10:36,6525,1/2/2018 11:08,1/2/2018 10:43,,,,10:43 - 11:08,R,25,25
,1/2/2018,OPERATOR,10:58,Passenger Incident,0,Intoxicated Passenger,1,,1,    OB,15,FL,VAN NESS ##### NORTH POINT,49,49,49,00:00 - 00:00,,,VAN NESS & NORTH POINT,,VAN NESS & NORTH POINT,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1852,412,412 / 49,,VAN NESS,NORTH POINT,%VAN%NESS%,%NORTH%POINT%,Intoxicated Passenger,Other,1568514,0:00,1/2/2018,1/2/2018 10:58,6581,,1/2/2018 11:06,,,,11:06 - 00:00,R,,
OPERATOR CLEARED  PERSON GOT UP AND WALKED AWAY. SFPD NOTIFIED. VIDEO PULLED. COACH BACK IN SERVICE. NO 799.,1/2/2018,OPERATOR,10:58,Passenger Incident,0,Intoxicated Passenger,1,54,1,    OB,15,FL,VAN NESS ##### NORTH POINT,49,49,49,00:00 - 00:00,,,VAN NESS & NORTH POINT,,VAN NESS & NORTH POINT,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1852,412,412 / 49,,VAN NESS,NORTH POINT,%VAN%NESS%,%NORTH%POINT%,Intoxicated Passenger,Other,1568533,0:00,1/2/2018,1/2/2018 10:58,6581,1/2/2018 12:00,1/2/2018 11:06,,,,11:06 - 12:00,R,54,54
"POWELL AGENT ON SIGHT, C95 RESPONDED, SFPD (3J9ID),ENG1,AMR 118 RESPONDED. PASSENGER TRANSPORTED TO ST. FRANCIS HOSPITAL .",1/1/2018,AGENT,0:27,Passenger Incident,0,Intoxicated Passenger,1,33,1,    OB,80,GR,POWELL STATION,NA,Other,NA,00:00 - 00:00,,,POWELL STATION,,POWELL STATION,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,,, / ,,,,,,Intoxicated Passenger,Other,1568344,0:00,1/1/2018,1/1/2018 0:27,,1/1/2018 1:00,1/1/2018 0:27,,,,00:27 - 01:00,R,33,33
SFPD UNIT# 3-I-13-E RESPONDED. PASSENGER ESCORTED OFF COACH. COACH BACK IN SERVICE. NO 799.,1/1/2018,OPERATOR,4:19,Passenger Incident,0,Intoxicated Passenger,1,27,1,    IB,35,WO,JUDAH ##### LA PLAYA,N,N,N,00:00 - 00:00,,,JUDAH  & LAPLAYA,,JUDAH  & LAPLAYA,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3746,144,144 / N,,JUDAH,LA PLAYA,%JUDAH%,%LA%PLAYA%,Intoxicated Passenger,Other,1568365,0:00,1/1/2018,1/1/2018 4:19,8614,1/1/2018 4:46,1/1/2018 4:19,,,,04:19 - 04:46,R,27,27
SFPD 3I13E CLEARED. NO 799,1/1/2018,OPERATOR,3:05,Passenger Incident,0,Intoxicated Passenger,1,9,1,    OB,35,WO,WEST PORTAL ##### ULLOA,91,91 OWL,91,00:00 - 00:00,,,WEST PORTAL & ULLOA,,WEST PORTAL & ULLOA,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5193,305,305 / 91,,WEST PORTAL,ULLOA,%WEST%PORTAL%,%ULLOA%,Intoxicated Passenger,Other,1568351,0:00,1/1/2018,1/1/2018 3:05,8613,1/1/2018 3:14,1/1/2018 3:05,,,,03:05 - 03:14,R,9,9
"INSP LEE, S (5T61B) RESP. MEDIC 67 TRANSPORTED PASS TO SFGH. NO 799",1/1/2018,OPERATOR,14:37,Passenger Incident,0,Intoxicated Passenger,1,138,1,    OB,15,PO,FERRY TERMINAL,14,14,14,00:00 - 00:00,,,FERRY TERM,,FERRY TERM,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4677,337,337 / 14,,,,,,Intoxicated Passenger,Other,1568405,0:00,1/1/2018,1/1/2018 14:37,7252,1/1/2018 16:55,1/1/2018 14:37,,,,14:37 - 16:55,R,138,138
"SFPD UNIT J13E RESPONDED UNDER CAD 180010785, REMOVED THE PERSON, OPERATOR INSTRUCTED TO CONTINUE IN SERVICE AND SEE DISPATCHER AT END OF SHIFT TO FILL OUT INCIDENT REPORT, VIDEO*",1/1/2018,OPERATOR,3:15,Passenger Incident,0,Intoxicated Passenger,1,5,1,    OB,85,PR,MCALLISTER ##### LARKIN,5,5,5,00:00 - 00:00,,,MCALLISTER & LARKIN,,MCALLISTER & LARKIN,PASSENGER INCIDENT - INTOXICATED PASSENGER  INTOXICATED PASSENGER BOARDED COACH WITH OPEN BEER - WHEN REQUESTED TO DISCARD IT THE PERSON POURED IT INTO A THERMOS AND INSISTED OPERATOR CONTINUE,N,1,2866,752,752 / 5,,MCALLISTER,LARKIN,%MCALLISTER%,%LARKIN%,Intoxicated Passenger,Other,1568352,0:00,1/1/2018,1/1/2018 3:15,5551,1/1/2018 3:20,1/1/2018 3:15,,,,03:15 - 03:20,R,5,5
"INSPECTOR 5-T-64, YEE RESPONDED. SFFD MEDIC-87 TRANSPORTED PASSENGER TO ST MARY'S. SFPD UNIT# 3-F-3-B RESPONDED. VIDEO PULLED. COACH BACK IN SERVICE. NO 799.",1/1/2018,OPERATOR,12:07,Passenger Incident,0,Intoxicated Passenger,1,8,1,    IB,55,PO,SHRADER ##### FULTON,21,21,21,00:00 - 00:00,,,SHRADER & FULTON,,SHRADER & FULTON,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4336,110,110 / 21,,SHRADER,FULTON,%SHRADER%,%FULTON%,Intoxicated Passenger,Other,1568378,0:00,1/1/2018,1/1/2018 12:07,8869,1/1/2018 12:15,1/1/2018 12:07,,,,12:07 - 12:15,R,8,8
"5761B MCDANIEL, 4S28 RESPONDED WITH SFFD ENG 8  AMR 30. PASSENGER TRANSPORTED TO ST. LUKE HOSPITAL. NO 799",12/31/2017,OPERATOR,18:19,Passenger Incident,0,Intoxicated Passenger,1,20,1,    IB,80,GR,6TH AND KING,N,N,N,00:00 - 00:00,,,KING ST & 6TH ST,,KING ST & 6TH ST,PASSENGER INCIDENT - INTOXICATED PASSENGER(RENDER AID),N,1,3588,132,132 / N,,,,,,Intoxicated Passenger,Other,1568328,0:00,12/31/2017,12/31/2017 18:19,1542-1454,12/31/2017 19:45,12/31/2017 19:25,,,,19:25 - 19:45,R,20,20
"OPERATOR CLEARED, MEDIC AMR #305 TRANSPORTED PASS TO SOBERING CENTER. NO 799",12/31/2017,OPERATOR,23:55,Passenger Incident,0,Intoxicated Passenger,1,20,1,    IB,81,PO,MARKET BETWEEN 6TH##### 7TH,5,5,5,00:00 - 00:00,,,MARKET Between 6TH STREET & 7TH STREET,,MARKET Between 6TH STREET & 7TH STREET,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1714,751,751 / 5,,MARKET BETWEEN 6TH,7TH,,,Intoxicated Passenger,Other,1568340,0:00,12/31/2017,12/31/2017 23:55,5604,1/2/2018 0:15,1/1/2018 23:55,,,,23:55 - 00:15,R,20,20
"INSPECTOR 5T64 KINDSTEDT ON LOCATION. SFPD (3I11E)RESPONDED. MEDIC 91 RESPONDED TRANSPORT TO UCSF.N0 799
",12/30/2017,INPECTOR 5T64 KINDST,21:55,Passenger Incident,0,Intoxicated Passenger,1,25,1,    IB,80,GR,JUDAH ##### LA PLAYA,N,N,N,00:00 - 00:00,,,JUDAH & LAPLAYA,,JUDAH & LAPLAYA,PASSENGER INCIDENT - INTOXICATED PASSENGER  INSPECTOR 5T64 KINDSTEDT CONTACTED CENTRAL FOR RENDER AID OF INTOXICATED FEMALE,N,1,3895,125,125 / N,,JUDAH,LA PLAYA,%JUDAH%,%LA%PLAYA%,Intoxicated Passenger,Other,1568271,0:00,12/30/2017,12/30/2017 21:55,1401-1547,12/30/2017 22:20,12/30/2017 21:55,,,,21:55 - 22:20,R,25,25
"INSP WONG, S (1C16B) RESP. SFPD 3B14D CLEARED. NO ARREST. NO 799",12/29/2017,OPERATOR,17:44,Passenger Incident,0,Intoxicated Passenger,1,46,1,    OB,41,FL,TRANSBAY TERMINAL,38,Other,38R,00:00 - 00:00,,,TRANSBAY TERM,,TRANSBAY TERM,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2039,524,524 / 38R,,,,,,Intoxicated Passenger,Other,1568164,0:00,12/29/2017,12/29/2017 17:44,6522,12/29/2017 18:30,12/29/2017 17:44,,,,17:44 - 18:30,R,46,46
"INSPECTOR 5-T-60-A, SWART RESPONDED. SFFD ENGINE-1 AND MEDIC-60 TRANSPORTED PASSENGER TO SFGH. INTOXICATED PASSENGER FELL WHILE ALIGHTING. VIDEO PULLED. COACH BACK IN SERVICE. NO 799.",12/23/2017,OPERATOR,7:44,Passenger Incident,0,Intoxicated Passenger,1,31,1,    OB,39,PO,MARKET BETWEEN 4TH ##### 5TH,5,5,5,00:00 - 00:00,,,MARKET Between 4TH & 5TH,,MARKET Between 4TH & 5TH,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3335,354,354 / 5,,MARKET BETWEEN 4TH,5TH,,,Intoxicated Passenger,Other,1567441,0:00,12/23/2017,12/23/2017 7:44,7230,12/23/2017 8:15,12/23/2017 7:44,,,,07:44 - 08:15,R,31,31
STATION AGENT AND SFPD RESPONDED AND CLEARED.,12/22/2017,OPERATOR,21:05,Passenger Incident,0,Intoxicated Passenger,1,10,1,    IB,65,GR,WEST PORTAL STATION,L,L,L,21:05 - 21:15,12/22/2017 21:15,12/22/2017 21:05,WEST PORTAL STATION,,WEST PORTAL STATION,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3489,135,135 / L,,,,,,Intoxicated Passenger,Other,1567414,0:00,12/22/2017,12/22/2017 21:05,1428-1466,12/22/2017 21:15,12/22/2017 21:05,,,,21:05 - 21:15,R,10,10
INSPECTOR NORWOOD INTERVIEWED OPERATOR AT TERMINAL. CLAIMS* VIDEO PULL. NO 799,12/22/2017,OPERATOR,21:55,Passenger Incident,0,Intoxicated Passenger,1,25,1,    IB,77,ME,3RD ##### KEITH,T,KT,T,00:00 - 00:00,,,3RD & KEITH,,3RD & KEITH,PASSENGER INCIDENT - INTOXICATED PASSENGER  FALL OR BOARD. AID REFUSED/PATRON LEFT CAR UNDER OWN POWER.,N,1,3577,112,112 / T,,3RD,KEITH,%3RD%,%KEITH%,Intoxicated Passenger,Other,1567418,0:00,12/22/2017,12/22/2017 21:55,1446,12/22/2017 22:30,12/22/2017 22:05,,,,22:05 - 22:30,R,25,25
"INSP LEE, S (5T60B) CLEARED PRIOR SFPD ARRIVAL. NO 799",12/22/2017,OPERATOR,20:09,Passenger Incident,0,Intoxicated Passenger,1,26,1,    OB,27,FL,TRANSBAY TERMINAL,38,Other,38R,00:00 - 00:00,,,TRANSBAYT TERM,,TRANSBAYT TERM,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5316,735,735 / 38R,,,,,,Intoxicated Passenger,Other,1567422,0:00,12/22/2017,12/22/2017 20:09,6535,12/22/2017 20:35,12/22/2017 20:09,,,,20:09 - 20:35,R,26,26
SFPD* AT 1846 HRS. CAD #173563164.  UNIT #3H13D RESPONDED.  NO ARREST.  NO 799,12/22/2017,OPERATOR,18:42,Passenger Incident,0,Intoxicated Passenger,1,41,1,    OB,27,FL,SAN BRUNO ##### ARLETA,8,8,8,00:00 - 00:00,,,SAN BRUNO & ARLETA,,SAN BRUNO & ARLETA,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2390,506,506 / 8,,SAN BRUNO,ARLETA,%SAN%BRUNO%,%ARLETA%,Intoxicated Passenger,Other,1567411,0:00,12/22/2017,12/22/2017 18:42,6551,12/22/2017 19:23,12/22/2017 18:42,,,,18:42 - 19:23,R,41,41
INSPECTOR JOMOC ON SCENE.   SFPD*  CAD #53250.  MEDIC #65 TRANSPORTED PASSENGER TO SAINT FRANCIS HOSPITAL. .  MOBILE #148* AND CLEARED.  NO 799,12/21/2017,"INSP, 1C19B, JOMOC",18:24,Passenger Incident,0,Intoxicated Passenger,1,1402,1,,26,FL,VAN NESS ##### NORTH POINT,49,49,49,00:00 - 00:00,,,VAN NESS & NORTH POINT,,VAN NESS & NORTH POINT,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3571,585,585 / 49,,VAN NESS,NORTH POINT,%VAN%NESS%,%NORTH%POINT%,Intoxicated Passenger,Other,1567247,0:00,12/21/2017,12/21/2017 18:24,6703,12/22/2017 18:54,12/21/2017 19:32,,,,19:32 - 18:54,R,1402,1402
"1C19B INSP GEETER, A. ON SCENE. SFPD UNIT #3A13D RESPONDED, SFFD MEDIC #74 RESPONDED, TRANSPORTED INTOX PASS TO UNKNOWN LOCATION. COACH BACK IN SERVICE WITH ORDERS. NO 799.",12/17/2017,1C19B A. GEETER,17:36,Passenger Incident,0,Intoxicated Passenger,1,33,1,    OB,23,FL,VAN NESS ##### NORTH POINT,49,49,49,00:00 - 00:00,,,VAN NESS & NORTH POINT,,VAN NESS & NORTH POINT,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5637,579,579 / 49,,VAN NESS,NORTH POINT,%VAN%NESS%,%NORTH%POINT%,Intoxicated Passenger,Other,1566667,0:00,12/17/2017,12/17/2017 17:36,6704,12/17/2017 18:09,12/17/2017 17:36,,,,17:36 - 18:09,R,33,33
SFPD UNIT #3E15A RESPONDED AND CLERAED AT 1156. NO ARREST. NO 799,12/17/2017,OPERATOR,11:17,Passenger Incident,0,Intoxicated Passenger,1,39,1,    OB,9,PO,FILLMORE ##### BAY,22,22,22,00:00 - 00:00,,,FILLMORE & BAY,,FILLMORE & BAY,PASSENGER INCIDENT - INTOXICATED PASSENGER  REFUSED TO GET OFF COACH,N,1,5298,315,315 / 22,,FILLMORE,BAY,%FILLMORE%,%BAY%,Intoxicated Passenger,Other,1566641,0:00,12/17/2017,12/17/2017 11:17,5437,12/17/2017 11:56,12/17/2017 11:17,,,,11:17 - 11:56,R,39,39
"5T62A INSP WONG, C. NOTIFIED @ 1206, RESPONDED. OP WILL BE 799. SFFD ENGINE #19, MEDIC #81, RESPONDED AND TRANSPORTED INTOX PASS TO SFGH. VIDEO*, CLAIMS 6A42*, S/S*. 5T61 INSP MENDAL, TO TRANSPORT RESCUE OP #5714 TO PULL IN COACH. ",12/16/2017,OPERATOR,11:47,Passenger Incident,0,Intoxicated Passenger,1,115,1,    OB,44,WO,GELLERT ##### MIDDLEFIELD,29,29,29,00:00 - 00:00,,,GELLERT & MIDDLEFIELD,,GELLERT & MIDDLEFIELD,PASSENGER INCIDENT - INTOXICATED PASSENGER  INTOX PASSENGER FELL ON BOARD.,N,1,5336,45,45 / 29,,GELLERT,MIDDLEFIELD,%GELLERT%,%MIDDLEFIELD%,Intoxicated Passenger,Other,1566565,0:00,12/16/2017,12/16/2017 11:47,8810,12/16/2017 13:44,12/16/2017 11:49,,,,11:49 - 13:44,R,115,115
"OPERATOR CLEARED, TRAINING 44/LRV-4 2001 ASSISTED, SFPD*",12/13/2017,OPERATOR,20:49,Passenger Incident,0,Intoxicated Passenger,1,11,1,    IB,16,GR,JUDAH ##### LA PLAYA,N,N,N,00:00 - 00:00,,,JUDAH & LA PLAYA,,JUDAH & LA PLAYA,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2478,124,124 / N,,JUDAH,LA PLAYA,%JUDAH%,%LA%PLAYA%,Intoxicated Passenger,Other,1566213,0:00,12/13/2017,12/13/2017 20:49,1427-1472,12/13/2017 21:00,12/13/2017 20:49,,,,20:49 - 21:00,T,11,11
OP CLEARED. MEDIC KA # 7 TRANSPORTED PASS TO UCSF. NO 799. VIDEO*.,12/10/2017,OPERATOR,1:28,Passenger Incident,0,Intoxicated Passenger,1,32,1,    OB,17,PO,MISSION ##### NORTON,14,14,14,00:00 - 00:00,,,MISSION & NORTON,,MISSION & NORTON,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5792,483,483 / 14,,MISSION,NORTON,%MISSION%,%NORTON%,Intoxicated Passenger,Other,1565652,0:00,12/10/2017,12/10/2017 1:28,7214,12/10/2017 2:00,12/10/2017 1:28,,,,01:28 - 02:00,R,32,32
"INSP ALVAREZ, J (5T82) FINISHED OP INTERVIEW AT VAN NESS & CHESTNUT AT 2055 HRS. NO 799. ",12/9/2017,OPERATOR,17:54,Passenger Incident,0,Intoxicated Passenger,1,181,1,    OB,32,FL,VAN NESS ##### NORTH POINT,49,49,49,00:00 - 00:00,,,VAN NESS & NORTH POINT,,VAN NESS & NORTH POINT,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5087,536,536 / 49,,VAN NESS,NORTH POINT,%VAN%NESS%,%NORTH%POINT%,Intoxicated Passenger,Other,1565641,0:00,12/9/2017,12/9/2017 17:54,6618,12/9/2017 20:55,12/9/2017 17:54,,,,17:54 - 20:55,R,181,181
"INSP WONG, S (5T62B), SFFD  ENGINE 28 RESP. MEDIC 11 TRANSPORTED PASS TO AN UNKNOW HOSP. NO 799. VIDEO*.",12/8/2017,OPERATOR,16:11,Passenger Incident,0,Intoxicated Passenger,1,79,1,    IB,54,FL,MISSIONO ##### RICHLAND,49,49,49,00:00 - 00:00,,,MISSIONO & RICHLAND,,MISSIONO & RICHLAND,PASSENGER INCIDENT - INTOXICATED PASSENGER  INTOXICATED PASS FELL ON SIDEWALK AFTER GOT OFF,N,1,5619,480,480 / 49,,MISSIONO,RICHLAND,,,Intoxicated Passenger,Other,1565509,0:00,12/8/2017,12/8/2017 16:11,6537,12/8/2017 17:30,12/8/2017 16:11,,,,16:11 - 17:30,R,79,79
